id,title,type,genres,averageRating,numVotes,releaseYear,idjw
tt0111161,The Shawshank Redemption,movie,Drama,9.3,3044564.0,1994.0,tm119206
tt0468569,The Dark Knight,movie,"Action, Crime, Drama",9.0,3021134.0,2008.0,tm56184
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2684072.0,2010.0,tm92641
tt0137523,Fight Club,movie,"Crime, Drama, Thriller",8.8,2465169.0,1999.0,tm42409
tt0109830,Forrest Gump,movie,"Drama, Romance",8.8,2379299.0,1994.0,tm122434
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2345627.0,2014.0,tm157099
tt0110912,Pulp Fiction,movie,"Crime, Drama",8.8,2334909.0,1994.0,tm112130
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2156057.0,1999.0,tm10
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2125282.0,1972.0,tm155580
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",8.9,2107957.0,2001.0,tm44313
tt0167260,The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",9.0,2077973.0,2003.0,tm142381
tt1345836,The Dark Knight Rises,movie,"Action, Crime, Drama",8.4,1913559.0,2012.0,tm39888
tt0114369,Se7en,movie,"Crime, Drama, Mystery",8.6,1911785.0,1995.0,tm15897
tt0167261,The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",8.8,1873596.0,2002.0,tm115982
tt1853728,Django Unchained,movie,Western,8.5,1791607.0,2012.0,tm41792
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1760458.0,2000.0,tm28142
tt0993846,The Wolf of Wall Street,movie,"Biography, Comedy, Crime",8.2,1687611.0,2013.0,tm188690
tt0361748,Inglourious Basterds,movie,"Adventure, Drama, War",8.4,1683117.0,2009.0,tm143861
tt0372784,Batman Begins,movie,"Action, Crime, Drama",8.2,1646729.0,2005.0,tm167206
tt0102926,The Silence of the Lambs,movie,"Crime, Drama, Horror",8.6,1635761.0,1991.0,tm8843
tt7286456,Joker,movie,"Crime, Drama, Thriller",8.3,1608975.0,2019.0,tm349873
tt0120815,Saving Private Ryan,movie,"Drama, War",8.6,1570071.0,1998.0,tm57554
tt1130884,Shutter Island,movie,"Drama, Mystery, Thriller",8.2,1550072.0,2010.0,tm99575
tt0108052,Schindler's List,movie,"Biography, Drama, History",9.0,1522633.0,1993.0,tm188361
tt0482571,The Prestige,movie,"Drama, Mystery, Sci-Fi",8.5,1514959.0,2006.0,tm22747
tt0848228,The Avengers,movie,"Action, Sci-Fi",8.0,1508524.0,2012.0,tm64957
tt0407887,The Departed,movie,"Crime, Drama, Thriller",8.5,1488088.0,2006.0,tm27911
tt0120689,The Green Mile,movie,"Crime, Drama, Fantasy",8.6,1485848.0,1999.0,tm54285
tt0080684,Star Wars: Episode V - The Empire Strikes Back,movie,"Action, Adventure, Fantasy",8.7,1441801.0,1980.0,tm2
tt0499549,Avatar,movie,"Action, Adventure, Fantasy",7.9,1431034.0,2009.0,tm135853
tt0071562,The Godfather Part II,movie,"Crime, Drama",9.0,1429484.0,1974.0,tm112061
tt0209144,Memento,movie,"Mystery, Thriller",8.4,1378949.0,2000.0,tm19313
tt0088763,Back to the Future,movie,"Adventure, Comedy, Sci-Fi",8.5,1378029.0,1985.0,tm129449
tt4154796,Avengers: Endgame,movie,"Action, Adventure, Sci-Fi",8.4,1357535.0,2019.0,tm1855
tt0120338,Titanic,movie,"Drama, Romance",7.9,1339709.0,1997.0,tm191110
tt0099685,Goodfellas,movie,"Biography, Crime, Drama",8.7,1326154.0,1990.0,tm155787
tt2015381,Guardians of the Galaxy,movie,"Action, Adventure, Comedy",8.0,1317605.0,2014.0,tm140097
tt0110413,Léon: The Professional,movie,"Action, Crime, Drama",8.5,1302955.0,1994.0,tm116655
tt4154756,Avengers: Infinity War,movie,"Action, Adventure, Sci-Fi",8.4,1287752.0,2018.0,tm591
tt0120382,The Truman Show,movie,"Comedy, Drama",8.2,1281584.0,1998.0,tm68909
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,movie,"Action, Adventure, Fantasy",8.1,1266603.0,2003.0,tm133512
tt0910970,WALL·E,movie,"Adventure, Animation, Family",8.4,1261273.0,2008.0,tm25151
tt0266697,Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",8.2,1251053.0,2003.0,tm137220
tt0169547,American Beauty,movie,Drama,8.3,1249003.0,1999.0,tm57615
tt0103064,Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",8.6,1232823.0,1991.0,tm8613
tt0120586,American History X,movie,"Crime, Drama",8.5,1231197.0,1998.0,tm63565
tt0434409,V for Vendetta,movie,"Action, Drama, Sci-Fi",8.1,1215241.0,2005.0,tm184362
tt1431045,Deadpool,movie,"Action, Comedy, Sci-Fi",8.0,1206609.0,2016.0,tm123777
tt0110357,The Lion King,movie,"Adventure, Animation, Drama",8.5,1203738.0,1994.0,tm309655
tt0114814,The Usual Suspects,movie,"Crime, Drama, Mystery",8.5,1189934.0,1995.0,tm7320
tt1049413,Up,movie,"Adventure, Animation, Comedy",8.3,1181972.0,2009.0,tm153612
tt0371746,Iron Man,movie,"Action, Adventure, Sci-Fi",7.9,1174076.0,2008.0,tm51227
tt0081505,The Shining,movie,"Drama, Horror",8.4,1166709.0,1980.0,tm97341
tt1392190,Mad Max: Fury Road,movie,"Action, Adventure, Sci-Fi",8.1,1165476.0,2015.0,tm139376
tt0086190,Star Wars: Episode VI - Return of the Jedi,movie,"Action, Adventure, Fantasy",8.3,1165448.0,1983.0,tm3
tt0264464,Catch Me If You Can,movie,"Biography, Crime, Drama",8.1,1165321.0,2002.0,tm111828
tt0266543,Finding Nemo,movie,"Adventure, Animation, Comedy",8.2,1160400.0,2003.0,tm135549
tt0119217,Good Will Hunting,movie,"Drama, Romance",8.3,1138082.0,1997.0,tm191716
